Name,DisplayName,Type,Visibility
ipInfo.type,Type,String,TRUE
linkInfo.bandwidth,Link Bandwidth,String,TRUE
linkInfo.category,Link Category,String,FALSE
linkInfo.id,Link ID,String,FALSE
linkInfo.identifier,Link Identifier,String,TRUE
linkInfo.secondaryBearerId,Link Secondary Bearer Id,String,TRUE
linkInfo.type,Link Type,String,TRUE
linkInfo.usage,Link Usage,String,TRUE
localPort,Source Port,String,TRUE
locationInfo.id,Location Info ID,String,FALSE
locationInfo.locationFloor,Floor,String,TRUE
locationInfo.locationRoom,Room,String,TRUE
locationInfo.locationSubPremise,Sub Premise,String,TRUE
maintenanceAgreement.id,Maintenance Agreement Id,String,FALSE
maintenanceAgreement.label,Resolver Name,String,TRUE
name,Name,String,TRUE
networkProduct.id,Network Product ID,String,FALSE
networkProduct.name,Network Product Name,String,TRUE
networkProductType.id,Network Product Type ID,String,FALSE
networkProductType.name,Network Product Type Name,String,TRUE
networkService.ceaseDate,Network Service Cease Date,Date,TRUE
networkService.id,Network Service Id,String,FALSE
networkService.inventoryStatus,Network Service Inventory Status,String,TRUE
networkService.serviceIdentifier,Network Service Identifier,String,TRUE
nodeInfo.nodeName,Node Name,String,TRUE
nodeInfo.sysName,Node SysName,String,TRUE
nodeInfo.ipAddress,Node IP Address,String,TRUE
nodeInfo.siteCode,Node Site Code,String,FALSE
nodeInfo.serial,Node Serial,String,TRUE
nodeInfo.id,Node ID,String,TRUE
nodeInfo.dnsNameSet,DNS Name Set,String,TRUE
nodeInfo.alias,Alias,String,TRUE
nodeInfo.name,Name,String,TRUE
nodeInfo.systemName,System Name,String,True
nodeInfo.shortName,Short Name,String,True
nodeInfo.domainName,Domain Name,String,True
nodeInfo.ipv4AddressSet,IPV4 Address,String,True
nodeInfo.phyAddrSet,Physical Address,String,True
nodeProduct.id,Device Subtype ID,String,FALSE
nodeProduct.name,Model Name,String,TRUE
nodeProductType.id,Device type ID,String,FALSE
nodeProductType.name,Device type,String,TRUE
onboardingInfo.columnname,Column Name,String,TRUE
